event_id,n_before,n_after,x0,x1,x2,x3,r_bl,theta_bl,Ne,Thetae,B,bias,dtau_scatt,dtau_abs,scatter_weight_factor,nu_before_local_hz,nu_after_local_hz,nu_before_obs_hz,nu_after_obs_hz,E_before_obs,E_after_obs,w_parent_pre_abs,w_parent_at_event,w_scatter
0,0,1,1.7269750657986664,0.35303367175376538,0.48726617637061692,3.6627141922817588,1.4233790702962763,1.5307918400287186,16389696.773065824,15.889768166930651,2892.5984796850885,100000,3.1899804067379411e-08,4.1850052037244272e-14,1.0046111377803004e-05,3393106997176193,1.5063615296435583e+19,-103236265629718.75,1.1722961490604777e+19,-8.3552204124081708e-07,0.09487744112276332,1.3941543218738522e+39,1.3941542774005447e+39,1.4005829595390137e+34
1,0,1,6.1696843041947664,0.38816458670271109,0.48287707279368375,4.8531275012493804,1.4742724099559672,1.5170030644755805,14318166.672131252,15.341237676247792,2439.7621301553404,100000,2.6764211256139685e-08,1.3318828113902879e-06,1.0055720751698815e-05,84015703299912.812,1.172424801245561e+17,-10490967361549.146,1.2158644121329765e+17,-8.4906543364825234e-08,0.000984035512424587,5.5135318514299924e+45,5.5135243604914469e+45,5.5442536653576961e+40
2,0,1,2.7040447841753772,0.36262553188346536,0.43379226895043188,3.9134107698588521,1.4370976112333853,1.3627986053187244,1878484.7707963136,15.738084361060199,328.36678545742166,100000,5.464405091214539e-09,1.2031040817436535e-27,1.000419599952727e-05,5504866705418807,5.899149014827394e+18,-757628921649294.62,6.1714778360230451e+18,-6.131717950646897e-06,0.049947619933494135,1.8651204530280431e+38,1.8651204428362696e+38,1.8659030574819639e+33
3,0,1,5.912193022950353,0.35924108710075175,0.56018239681433801,4.7787110688141281,1.4322420550365316,1.7598649025022466,2810946.3346679625,15.791439276018345,493.03067756338476,100000,1.0205332231561957e-08,1.8528045660458581e-20,1.0023318949147408e-05,2748426905688233,1.9112950949698642e+18,-133032841691746.02,2.7209968530976251e+18,-1.076674662381014e-06,0.022021843109515826,2.6064208917861757e+42,2.6064208651867849e+42,2.612498791409406e+37
4,0,1,7.9247295967269258,0.44403402162471112,0.49887141628764958,5.5611882579008967,1.5589835238720664,1.5672507764952155,14792599.733080108,14.507634682690288,2383.6406934903134,100000,1.5012393608653452e-09,1.8115695065610717e-12,1.0004994272123087e-05,885398077057509.5,5.4116185954682829e+18,301254968250345.25,5.1376413846637343e+18,2.4381467546420751e-06,0.041580471655900557,1.3460532617139749e+42,1.3460532596907882e+42,1.3467255173420916e+37
5,0,1,14.66372590052918,0.66022260869111726,0.503991660601119,7.2923706705579541,1.9352230839336924,1.5833364984149958,9530667.8657767698,11.687109165055855,1237.1720779631569,100000,4.4906535094337301e-09,2.825840710556741e-05,1.0005726166039387e-05,9882373354347.3359,299336530515022.06,10131207201168.398,221332129250220.53,8.1994896554230844e-08,1.7913072629593957e-06,6.3448045663061222e+46,6.344625246277427e+46,6.3484377067495353e+41
6,0,1,21.228507235929712,1.091946268275761,0.48335857816668942,8.3122894585476015,2.9800684447061827,1.5185157582180793,3532545.7756767594,7.5894778460026382,297.78263589322353,100000,1.5039844689284927e-08,2.3977711438498874e-09,1.0007837960927063e-05,34093192394841.277,1168154372428208.2,38623769380273.445,990345907211013.75,3.1259374248162208e-07,8.0151662681726668e-06,1.2967708612619269e+46,1.2967708386493349e+46,1.2977872651961194e+41
7,1,2,27.45260363815315,1.6098532004870438,0.57913881279196266,8.3882123322393731,5.0020768714848263,1.8194182396759444,57297.64077996197,4.5215545505911807,2.8775586832241777,100000,3.1446135495140521e-10,7.9027004593031487e-86,1.0000440736651389e-05,211477461119074.59,14402672116437320,221354667584051.44,11698684803478498,1.7914896724506115e-06,9.4680962617282849e-05,6.3484230952009906e+41,6.3484230932046568e+41,6.3487028934746486e+36
8,0,1,30.030535009924218,1.8557339804978947,0.49882611729451015,9.0030673275080364,6.3963913545979878,1.5671084655111536,878688.91599359224,3.5359255221947876,34.509441518322916,100000,5.8051141631423156e-09,1.0417464137432385e-49,1.0007176629571455e-05,324709223172725.44,1.0894107112023947e+17,377676571463875.31,62904715408765664,3.0566496956617022e-06,0.00050910671653425787,2.0973278097883748e+44,2.0973277976131473e+44,2.098832984266451e+39
9,1,2,39.218486991984932,1.4849783212060386,0.53196743080599473,7.5817404089020979,4.4148697026904911,1.6712249725691497,1110889.4587485273,5.1229515169804118,63.210724130965687,100000,2.5423522160286142e-08,1.3105888703537447e-280,1.001350795962103e-05,1.2684722295966704e+17,1.147016923232814e+18,62904727524450824,1.400468025100375e+18,0.00050910681459012935,0.01133440749611459,2.0988226121742134e+39,2.0988225588147508e+39,2.1016576932839089e+34
10,0,1,8.352466719096034,0.45781700626542016,0.4480006516412241,5.7092400263872065,1.5806197330870224,1.4074355559995098,3701540.5040613082,14.309047879907686,588.29196520751088,100000,1.1432102532865326e-09,0.00077967580750949457,1.000064967406125e-05,842706823636.70642,1017948800620758.8,880999596873.61096,1122093260969774.8,7.1301938037196498e-09,9.0814370914065868e-06,1.032901946646571e+47,1.0320969306733972e+47,1.032969051606826e+42
11,0,1,49.624024147292786,2.6468387570446774,0.5016017863125054,6.4290059867279066,14.109364939840923,1.5758284869068842,180482.75703106573,1.6029894709721859,3.2134094043219421,100000,5.9786169804198926e-09,2.835937848386882e-110,1.0004154920806731e-05,79823405226274.469,878815194962774,87949225518785.25,845304841896059.38,7.1179944356540751e-07,6.8413054527267457e-06,4.4420420177365568e+44,4.4420419911792894e+44,4.4438876510169434e+39
12,0,1,0.10693818371844611,0.34979234337158266,0.45994862270524156,3.1763783023355847,1.4187729004045035,1.4449712141195303,8030207.6437157542,15.94135568435285,1421.8431866957337,100000,4.6915039227622897e-09,1.0011475986964732e-22,1.0003071291610108e-05,10704380197168594,2.61040614692987e+19,1384560916566412.2,3.0948520441481855e+19,1.1205666498835531e-05,0.2504756522809195,8.1336044980347134e+34,8.1336044598758754e+34,8.1361025651601883e+29
13,0,1,3.4168798538167047,0.34990827886845505,0.53476161479466211,4.1559724407765248,1.4189373960809206,1.6800031604607253,9795539.4092010204,15.939507622490822,1734.2149746560199,100000,5.8863202288939377e-08,8.4875286380976964e-17,1.0050746690100693e-05,4821517976903316,8.1477767489820365e+18,-103237719281394.28,-1.4545552215120419e+17,-8.3553380607953714e-07,-0.0011772151388488201,1.3941446705800222e+39,1.3941445885162048e+39,1.401219493335368e+34
14,0,1,8.0351452653559274,0.3720355324231211,0.51768289049293736,5.2390722268232901,1.4506845267138049,1.6263487656617415,14645467.131817047,15.590683587080882,2536.1098460668945,100000,2.7727615145315555e-07,1.2093424781963962e-06,1.0224668405024099e-05,181096092034423.19,6.764286353452233e+17,-10491482845100.557,6.512731966100439e+17,-8.4910715327715152e-08,0.0052709491893942542,5.5120005254818025e+45,5.5119923312452258e+45,5.6358377621370015e+40
15,0,1,14.599955645813662,0.6600175223755842,0.45365561873111904,7.3427641635854366,1.9348262368570173,1.4252011590654157,3279629.8731148764,11.689506277012775,425.81472551733918,100000,2.1178888100436465e-09,0.0002259866739981422,1.0001819917876203e-05,1689597668852.6675,15510495137737244,2110833355303.0479,2229644762605782,1.7083607034641728e-08,1.8045183365853942e-05,1.01339801803881e+47,1.0131690273206553e+47,1.0135824481556837e+42
16,1,2,60.225352450626978,1.786656283381213,0.46802597904056986,4.9036974518150327,5.9694588797059431,1.4703469774430247,607498.43401601503,3.7888130057415248,25.56513016488104,100000,1.3774343778569115e-08,0,1.0007005544516246e-05,84860227440088192,5.7376889164164567e+18,62904727033918168,5.2227160706840054e+18,0.00050910681062010159,0.042269006589705026,2.0988012874519737e+39,2.0988012585423636e+39,2.1002716120369738e+34
17,0,1,34.318361193128162,2.1552405714987231,0.45789716736001868,8.086931430083597,8.6299660531279923,1.4385263770778107,199342.77090538817,2.6207708467719129,5.8026879178337412,100000,5.6589943941866452e-09,2.6673276926542155e-29,1.0003168018060631e-05,6171315443012.708,425075035481494.88,6690517839986.5596,378176842979486.69,5.4148366259912947e-08,3.0606985429863184e-06,7.3372696052893918e+46,7.3372695637678239e+46,7.3395940655519195e+41
18,0,1,5.2272986479706605,0.40024198091982854,0.48420790745503556,4.8443061263230653,1.4921857344340743,1.5211840048708261,14282975.699887635,15.157069873239935,2404.5489581850879,100000,1.3748849560708064e-09,1.075062902117272e-05,1.0003103353832087e-05,11387292721652.176,49281565920892888,10480916246554.953,1345866070518789.2,8.482519667850848e-08,1.08924975115809e-05,7.4574358660826446e+46,7.4573556841341417e+46,7.4597501722999003e+41
19,0,1,10.929740388979791,0.50848667812837056,0.5239040689547606,6.5663415373377827,1.6627729792739592,1.6458931742140763,9804190.614672292,13.60207540210617,1481.209873414668,100000,4.1344227001141351e-09,1.9428622055988874e-05,1.0004037769923034e-05,10197402368323.51,37282833844065408,10481039426686.863,22742223146175152,8.482619361223738e-08,0.00018405962855727704,7.3669921505895083e+46,7.3668489910160628e+46,7.3699667725223957e+41
20,1,2,15.075446731543874,0.6576822221817491,0.50400622487567326,7.4888718291835819,1.9303131085767979,1.5833822534329403,9578663.5131776519,11.716836683217956,1246.5651114255618,100000,1.0133682607989248e-08,2.9919415228098629e-39,1.0006832011082977e-05,33668319551688724,3.0131629502869365e+19,22743624960001204,1.4351706743812565e+19,0.00018407097385674366,0.11615266438335756,7.3699590676058881e+41,7.369958992921063e+41,7.3749942318089847e+36
21,0,1,3.4369341276639118,0.36686630991909464,0.52108614976743306,4.2032183915216477,1.4432049640289706,1.6370404199967583,13860367.639497966,15.671483957156832,2412.595682716521,100000,1.1018780941109133e-08,3.3664809756693334e-05,1.0023953699168571e-05,20036407789194.219,27430399428195540,-196574065195.45035,25477853346640964,-1.590932829711225e-09,0.00020619990373316676,6.1908479024443012e+46,6.1906394240221972e+46,6.205677273269654e+41
22,0,1,8.0623387729040346,0.37133120259728836,0.51835988734555527,5.2437144820618631,1.4496631260774573,1.6284756140004293,14489823.563322674,15.60166843856153,2510.9254319614388,100000,3.0757892220424115e-07,1.2261995473032496e-06,1.0228475600917142e-05,184726666369158.59,16106169784024120,-10491490422844.496,9587621578647550,-8.4910776656668162e-08,7.7595495179651913e-05,5.5119923312452258e+45,5.5119838770765475e+45,5.6379279072584185e+40
23,0,1,5.8056927690383855,0.41129844687174882,0.47070105283230501,4.9570729836317646,1.5087755787226589,1.4787509696149506,10321252.535846449,14.990409282616422,1718.4843002488255,100000,2.3376297680153686e-09,5.4027295132259143e-10,1.0001289128150339e-05,246465383461157.91,2.5916586010319247e+18,187128842338843.69,2.4081611984424018e+18,1.5144898100708998e-06,0.019489970388664565,1.2561609045360764e+45,1.2561609009209676e+45,1.2563228397744157e+40
24,0,1,5.7959917409968664,0.39669435576551587,0.53546597263587115,4.9690024969703162,1.4869013977527874,1.6822159658801661,8701927.5344984327,15.210936969224267,1470.1820064114017,100000,9.0739382678399344e-10,7.7367203742739629e-24,1.0007529818022843e-05,10902243437658812,3.9358934649000525e+18,1384590342847895.2,-3.8889974669040013e+17,1.1205904654551654e-05,-0.0031474822167459398,8.133578014765698e+34,8.1335780073853392e+34,8.1397024509982762e+29
25,0,1,4.9674392166747499,0.39854129770644864,0.44862676294727721,4.7309517646874637,1.4896501559233248,1.4094025426789356,4307632.3264863677,15.182869179542623,726.42729057883935,100000,4.216651856086424e-10,2.6816395463617702e-24,1.0000568818315271e-05,5490911492282608,4.086357486507044e+19,5589999403397895,2.7286208370298434e+19,4.5241540688947942e-05,0.22083546296652429,2.0389869794989563e+38,2.0389869786391864e+38,2.0391029608128101e+33
26,0,1,3.7153565560279782,0.38081986860067446,0.47088261557881278,4.2680270247405971,1.463483962251225,1.4793213658055449,11028197.771273846,15.454329547881029,1893.016453454926,100000,8.3201895357133164e-09,0.44828191015903596,1.0004694576121924e-05,108532452193.61438,266935594624890.69,-25145374810.754219,195029953934736,-2.0350905528685412e-10,1.5784358744544127e-06,1.0407258884411529e+32,6.6473721679460233e+31,1.0412144651316872e+27
27,0,1,4.0723079290476756,0.3845632315408033,0.47197450002766583,4.3709548140078729,1.4689725804146767,1.4827516219686305,11291969.201266179,15.396586527356765,1931.051276232148,100000,9.818355317811488e-09,0.53693459666363963,1.0005239257361448e-05,109599420467.45218,1123012381159394.6,-25145294168.444332,1105335346999891.6,-2.0350840262446889e-10,8.9458102707186475e-06,3.0600600152052126e+29,1.7887193593570168e+29,3.0616632594013259e+24
